Tweet,Sentiment
I love the new iPhone update! So smooth and fast.,positive
"The service was terrible, I'm never going back.",negative
Absolutely fantastic match last night!,positive
The weather is so gloomy today.,negative
This product is not worth the price.,negative
Had a great day with friends at the park!,positive
Traffic was horrible this morning.,negative
The movie exceeded my expectations!,positive
Feeling sad and tired.,negative
"Such a productive weekend, feeling motivated!",positive
